Page Title,New node,Introduction,Essays,Arguments,Features,Reviews,GPPN Student Essay Contest,Andrew Wellington Cordier Student Essay Contest,Visual Essays,Read
Climate Disruption,/content/climate-disruption,"Letter from the Editors - JIA Editorial Board
Letter from the Dean - Merit Janow
A Call to Action (Keynote) - Bill McKibben","Financing the Green Transition: Attracting Capital Through Financial Innovation - John MacWilliams, Sarah La Monaca and James Kobus
Financing Sustainable Infrastructure at Scale - Christian Déséglise and Delfina Lopez Frejido
Ending Pandemics: U.S. Foreign Policy to Mitigate Today’s Major Killers, Tomorrow’s Outbreaks, and the Health Impacts of Climate Change - Mathew M. Kavanagh, Harsha Thirumurthy, Rebecca Katz, Kristie L.Ebi, Chris Beyrer, Jamila Headley, Charles B. Holmes, Chris Collins, & Lawrence O. Gostin
Climate-Induced Migration and Free-Movement Agreements - Ama Francis
Climate Change and Cognition: Towards a Pedagogy - Joshua L. DeVincenzo
Cultural Heritage in the Face of Climate Change - Dr. Rohit Jigyasu
Resilient Cultural Heritage for a Future of Climate Change - Bárbara Minguez Garcia","State-Owned Enterprises: No Climate Success Without Them - Phillipe Benoit
Climate Action: What Does it Take? Legal Teeth, Not Just Corporate Words - Jenik Radon
Corporate Responsibility and Climate Change - Graham Bradley
Green Capitalism - Graciela Chichilnisky
Can Technology Innovation Save Us from Climate Change? - Madison Freeman
Climate Change and International Relations: A Five-Pronged Research Agenda - Ole Jacob Sending, Indra Øverland, and Thomas Boe Hornburg
Energy Transition Amid Great Power Rivalry - Daniel Scholten, David Criekemans, and Thijs Van de Graaf
How Climate Change Could Spark the Next Global Financial Crisis - Sagatom Saha and Brody Viney","Future of Climate and Energy Policy - Sir Alexander Halliday
Religion, Faith, and Climate Activism - Susan Hendershot
Carbon Farming and Regenerative Agriculture - Eric Toensmeier
Environmental Racism and Environmental Justice - Dr. Robert Bullard
Ocean Conservation and the Future of Coastal Cities - Dr. Ayana Elizabeth Johnson
How to Prioritize Equity in Climate Action - Adrianna Quintero
Climate Change, Displacement, and Migration - Walter Kaelin
How Climate Change Impacts Indigenous Rights - Danika Littlechild
Earth’s Climate Future - David Wallace-Wells
A Zero Waste World - Joan Marc Simon
The Future of Energy - Josh Tickell
Achieving Zero Waste - Michael J. Sangiacomo
The Role of Carbon Pricing - Michael Green
The Cradle-to-Cradle Movement - Michael Braungart",,Removing the Meat Subsidy: Our Cognitive Dissonance Around Animal Agriculture - Christina Sewell,"The National Security Implications of Climate Change: Redefining Threats, Reinforcing Budgets, and Realigning the Arctic - Daniel White",,JSTOR
Dynamics of Global Feminism,/content/dynamics-global-feminism,"Letter from the Dean - Merit Janow
Letter from the Editors - JIA Editorial Board
When Women Stand Together as One: The Power of Women's Grassroots Peace Movements (Keynote) - Leymah Gbowee","Symbiosis of Misogyny and Violent Extremism: New Understandings and Policy Impllications - Pablo Castillo Diaz and Nahla Valji
Feminist Foreign Policy: A Fine Line Between ""Adding Women"" and Pursuing a Feminist Agenda - Victoria Scheyer and Marina Kumskova
Global Feminist Collaborations and the Concept of Violence against Women in Politics - Mona Lena Krook
Online Misogyny: A Challenge for Digital Feminism? - Kim Barker and Olga Jurasz
Maintaining Momentum in Changing Circumstances: Challenges of the Women's Movement in Pakistan - Farida Shaheed
Sustainable Transitions to Peace Need Women's Groups and Feminists: Questioning Donor Interventions in Bosnia and Herzegovina - Nela Porobic and Gorona Mlinarevic
Economic and Political Gender Gaps and the Rise of Populism: Insights from a Turkush Perspective - Ipek Ilkkaracan",,"Take Back the Future: Global Feminisms and the Coming Crisis of the Beijing Settlement - Yasmine Ergas
Gender Identities in Conflict - Nimmi Gowrinathan
Hypermasculinity and #MeToo: Backlash and Hurdles in Feminist Movements - Cynthia Enloe
Feminism, Peace and Afghanistan - Sima Samar
Women's Empowerment and the Question of Choice - Naila Kabeer","Critical Perspectives on ""Governance Feminism"": A Review of Governance Feminism: Notes from the Field Edited by Janet Halley, Prabha Kotiswaran, Rachel Rebouche and Hila Shamir - Eugenia McGill",,"Shattering the Highest and Hardest Glass Ceiling, Once and For All: How the 2020 Election can change governance in the US and beyond - Jasneet Hora",Repetition = Resistance - Saumya Deva,JSTOR
The Fourth Industrial Revolution,/content/fourth-industrial-revolution,"Letter from the Dean - Merit Janow
Letter from the Editors - JIA Editorial Board
Foreword - Klaus Schwab
The Fourth Industrial Revolution: Shaping a New Era - Thomas Philbeck and Nicholas Davis","Correctly Valuing the Work of the Future - Guy Ryder
Gig Work and the Fourth Industrial Revolution: Conceptual and Regulatory Challenges - Alex de Ruyter, Martyn Brown and John Burgess
The Changing Nature of Work - Simeon Djankov and Federica Saliola
Creating a Better Future: Four Scenarios for how Digital Technologies could Change the World - Elizabeth Pollitzer
A Gender Lens on the Future of Work - Jill Rubery
The Fourth Industrial Revolution: Digital Fusion with the Internet of Things - Shuo-Yan Chou
Building Trust in Artificial Intelligence - Francesca Rossi
Preventing a Butlerian Jihad: Articulating a Global Vision for the Future of Artificial Intelligence - Schoni Song
Brilliant Technologies and Brave Entrepreneurs: A New Narrative for African Manufacturing - Wim Naude
The Future of Work in a Historically Volatile Economy: Case Study of Farm Machinery Factories in Argentina - Yovanna Pineda",,"The Future of Work: Advancing Labor Market Resilience - Stefano Scarpetta
Sweden: The Role of the State in the Fourth Industrial Revolution - Ylva Johansson
Global Politics and the Governance of Artificial Intelligence - Allan Dafoe","Technology and Humanity in the Fourth Industrial Revolution: A Review of Shaping the Fourth Indusrial Revolution by Klaus Schwab and Nicholas Davis - Betty Sue Flowers
The Role of Universities in Setting the Knowledge Economy Agenda: A Review of Cities and the Knowledge Economy: Promise, Politics and Possibilities - Tim May and Beth Perry",,,,JSTOR 
Ungoverned Spaces,/content/ungoverned-spaces,"Letter from the Advisory Board - Advisory Board
Letter from the Editors - JIA Editorial Board
Foreword - Ronaldo Lemos
","Governance Without Governmment in the Somali Territories - Nicole Stremlau
Ungoverned or Antigovernance? How Bitcoin Threatens the Future of Western Institutions - Andrea O'Sullivan
Advancing Human-Rights By-Design in the Dual-Use Technology Industry - Jonathon Penney, Sarah McKune, Lex Gill and Ronald J. Deibert","A Tired Cliche: Why We Should Stop Worrying about Ungoverned Spaces and Embrace Self-Governance - Jennifer Murtazashvili
The Ungovernability of Digital Hate Culture - Bharath Ganesh
Civil Society in an Uncivil State: Informal Organizations in Tajik/Afghan Badakhshan - Suzanne Levi-Sanchez","We need a brand new architecture to cover the whole scope of mobility - Interview with Michael Doyle
Space provides the required magnitude of perspective. It unites us towards common goals - Interview with Simonetta Di Pippo
On cybersecurity - Interview with Bruce Schneier","A Review of Democracy Protests: Origins, Features and Significance - Alexander Chen Campbell
A Review of The Sovereignty Wars - Robert Ward
A Review of How We Won & Lost the War in Afghanistan: Two Years in the Pashtun Homeland - Conor McGuire
A Review of The Derangement: Climate Change and the Unthinkable - Astha Ummat",Evaluating the Concept of Ungoverened Spaces: The Limitations of a Two-Dimensional Worldview - Shu De Teo,,,JSTOR
Contentious Narratives,/content/contentious-narratives,"Letter from the Editors - JIA Editorial Board
Foreword - Steven Livingston
The New Global Landscape: Illiberal Regimes and Movements - Ambassador John Shattuck","The Global Organization of Social Media Disinformation Campaigns - Samantha Bradshaw and Phil Howard
Digital Marketing in the Disinformation Age - Douglas Guilbeault
Dangerous Speech, Anti-Muslim Violence, and Facebook in Myanmar - Christina Fink
Contentious Narratives and Europe: Conspiracy Theories and Strategic Narratives Surrounding RT's Brexit News Coverage - Emma Flaherty and Laura Roselle
The EU's Crisis Diplomacy in Ukraine: The Matrix of Possibilities - Natalia Chaban and Ben O'Loughlin
The Disconnective Power of Disinformation Campaigns - Gregory Asmolov
A New Approach to Assessing the Role of Technology in Spurring and Mitigating Conflict: Evidence from Research and Practice - Rachel Brown and Laura Livingston
Robot Wars: How Bots Joined Battle in the Gulf - Ben Nimmo
The Weaponization of Social Media: Spear Phishing and Cyberattacks on Democracy - Michael Bossetta
Cyber Rebellions: The Online Struggle for Openness - Matthew Flynn
Russian Trolls and Fake News: Information or Identity Logics? - Michael Jensen
Master Narratives of Disinformation Campaigns - Matthew Levinger
Information Warfare and Information Operations: Russian and U.S. Perspectives - Hans Klein",,,,,,,JSTOR
The Democracy Issue,/content/democracy-issue,"Letter from the Editors - JIA Editorial Board
Letter from the Dean - Merit Janow","Pre-Copernican Political Science: What Analysis of ""Authoritarianism"" Reveals about American Study of Politics - Lisa Anderson 
Democratic Grassroots Politics and Clean Economic Growth - Steven Cohen 
Disinformation and Democracy: The Internet Transformed Protest but Did Not Improve Democracy - Anya Schiffrin 
Digital Challenges to Democracy: Politics of Automation, Attention, and Engagement - H. Akin Unver 
The Latin American Left's Missed Opportunity of Deepen Democracy - Benjamin Goldfrank 
The Slow Death of Western Democracy and What Comes After - Alvaro Gomez del Valle Ruiz","Colombia, A Laboratory for History - Juan Manuel Santos 
Turkey: Marching Toward One-Man Rule - Nicole Pope 
Civil Society: The Pulsating Heart of a Country, Its Safety Valve - Jenik Radon and Lidia Cano Pecharroman 
Shoring Up a Democracy Under Siege - Laleh Ispahani and Sarah R. Knight 
How Big Data is Changing Democracy - Venkat Motupalli","Democracy in Europe is being reconsidered from top to bottom - Sheri Berman 
Economic globalization has run ahead of political globalization - Rana Foroohar 
The Russian people do not want to make sacrifices anymore - Lilia Shevtsova","Predicting the Future: A Review of Human Rights Futures edited by Stephen Hopgood, Jack Snyder and Leslie Vinjamuri - Ayesha Myra Amin 
The Construct of Muslim Unity - A Review of The Idea of the Muslim World: A Global Intellectual History by Cecil Aydin - Morgan Chicchelly 
A Rejection of Hope: A Review of We Were Eight Years in Power by Ta-Nehisi Coates - Jewel Conrad",A High Stakes Gamble: U.S. Assistance for Ukraine's Pro-Democracy Movements - David Korenke,,,JSTOR
The End of International Cooperation?,/content/end-international-cooperation,Letter From the Editors - JIA Editorial Board,"Charity or Charade? The Tragedy of Humanitarianism - Dirk Salomons
UNESCO’s Role in Emergency Situations: What Difference Can Soft Power Make in Times of Crisis? - Irina Bokova
Addressing Risk in Climate Finance Solutions - Michael Eckhart
Beneﬁcial Ownership Disclosure: The Cure for the Panama Papers Ills - Jenik Radon and Mahima Achuthan
Brexit Beyond Borders: Beginning of the EU Collapse and Return to
Nationalism - Leonardo Scuira
Countering Iraq’s Anti-Shelter Policy in the Islamic State Era - Lisa Davis
Keeping It Together: A Historical Approach to Resolving Stresses and Strains Within the Peninsula Shield Force - James Bowden","We’ve Been Here Before: The Durability of Mulﬁlateralism - David Bosco
End Times Diplomacy at the UN - Richard Gowan
Would the World Be Better Without the UN? - Thomas G. Weiss","The War on Globalization - Interview with C. Fred Bergsten
Geopolitical Risks When There’s No Cooperation - Interview With Ian Bremmer
Europe’s Failed Experiment in Regional Cooperation? - Interview With Guy Verhofstadt","The Spread of Anger: A Review of Age of Auger by Pankaj Mishra - Daniele Selby
The History of Populism: A Review of The Populist Explosion by John B. Judis - Ragini Ahuja
Understanding the New Normal: A Review of The Only Game in Town by Mohamed A. El-Exian - Zoryana Melesh
The Enemy of My Enemy: A Review of States in Disguise by Belgin San-Akca - Ketaki Purohit
Decoding Disorder: A Review of A World in Disarray by Richard
Haass - Noopur Desai",Between Facts and Norms: Journalism and Global Ethics - Yoonhye Kim,,,JSTOR
The Next World Order,/content/next-world-order,"Letter From the Editors - JIA Editorial Board
Letter From the Dean - Merit Janow","The Return of Anarchy? - Anne-Marie Slaughter 
War Must Not Become the New Normal - Jean-Marie Guéhenno 
The Shifting Sands of Global Order - Shlomo Ben- Ami 
The Future of Economic and Financial Globalization - Mohamed A. El-Erian 
Development in a Time of Xenophobia - William Easterly 
What Will it Take to Achieve the Sustainable Development Goals? - Helen Clark 
Moving Climate From the Crosshairs to the Crossroads - Robert C. Orr 
Global Health in a Populist and Nationalist Age - Laurie Garrett 
The Global Youth Boom Is Here - Kristin M. Lord 
The Dangerous Rise of Populism: Global Attacks on Human Rights Values - Kenneth Roth 
Why Democracies Are at a Disadvantage in Cyber Wars - Moisés Nairn 
The U.S. Response to Today's Global Order and Tomorrow's Threats - Richard Fontaine",,,,,,,JSTOR
The Cyber Issue,/content/cyber-issue,"Letter From the Editors - JIA Editorial Board
Letter From the Dean - Merit Janow","Inside the Digital Revolution - Heather Brooke 
Social Media, Civic Engagement, and the Slacktivism Hypothesis: Lessons from Mexico’s “El Bronco” - Philip N. Howard, Saiph Savage, Claudia Flores Saviaga, Carlos Toxtli, and Andrés 
Monroy-Hernández 
Attribution of Malicious Cyber Incidents: From Soup to Nuts - Herbert Lin 
Natural and Quasi-Natural Experiments to Evaluate Cybersecurity Policies - Benjamin Dean 
Toward Practical Cyber Counter Deception - Christopher Porter","A Non-State Strategy for Saving Cyberspace - Jason Healey 
How the Next U.S. President Can Contain China in Cyberspace - Rob Knake and Adam Segal","The Consequences of Cyber Attacks - Interview With Toomas Hendrik Ilves 
The Risk of Cyber War and Cyber Terrorism - Interview With Richard A. Clarke 
Is Cyber Defense Possible? - Interview With Sorin Ducaru 
Covering Cyber—A Journalist’s Inside Look - Interview With Kim Zetter 
Arms Races in Transparency and Secrecy - Interview With Glenn Greenwald","A Crisis of Confidentiality: A Review of Lords of Secrecy by Scott Horton - Bebe Santa-Wood 
Explaining Russia Through Putin: A Review of The New Tsar by Steven Lee Myers - Ross Carstens 
Turning Science Fiction Into Reality: A Review of Dark Territory by Fred Kaplan - Debashree Poddar","Terrorist Communications: Are Facebook, Twitter, and Google Responsible for the Islamic State’s Actions? - Nicole Softness 
Honing Cyber Attribution: A Framework for Assessing Foreign State Complicity - Justin Key Canfil",,,JSTOR
Shifting Sands,/content/shifting-sands,Editors' Foreword - JIA Editorial Board,"The Contagiousness of Regional Conflict: A Middle East Case Study - Graeme P. Auton and Jacob R. Slobodien 
Violence in Post-2003 Iraq - Yasir Kuoti 
A Better Pill to Swallow: Connections Between Captagon, Syria, and the Gulf - Max Kravitz and Will Nichols 
Divesting from Sectarianism: Reimagining Relations Between Iran and the Arab Gulf States - Khaled A. Beydoun and Hamada D. Zahawi 
Schrodinger's Kurds: Transnational Kurdish Geopolitics in the Age of Shifting Borders - H. Akin Unver 
Youth, Peace, and Security: A New Agenda for the Middle East and North Africa - Margaret Williams 
A National Strategic Framework for Countering Violent Extremism in Jordan - Mia Chin, Dr.Sawsan Gharaibeh, Jeffrey Woodham, and Ghimar Deeb 
Situation of the Bahá’í Minority in Iran and the Existing Legal Framework - Shahin Milani","America's Ronin Refugees: Forgotten Allies of the Wars in Iraq and Afghanistan - Chase Millsap 
The Collapse of Saudi Arabia and the Cataclysmic Power Shift in the Middle East - Elihugh M. Abner","On U.S.-Iranian Negotiations - An Interview with Ambassador William J. Burns 
Searching for a Home: One Man’s Story of Survival in the Syrian Civil War - Ahmed Danny Ramadan","The Sins of Our Fathers - Elizabeth Trobaugh 
An Insider’s View - Claudia Shrivastava 
Islamism and Its Inclinations - Michael Smalls 
Negotiating Transition - Timothy Hodge 
The Impact of the Muslim Brotherhood on the Changing Face of the Middle East - Ian Gray 
Crackdowns and Detainments: Developing Egypt’s Media in the Midst of the Revolution - Sama Habib 
Peeling Away Lebanon’s Immunity to Revolution - Seraina Eldada",Too Late for Two States: The Benefits of Pivoting to a One-State Solution for Israel and Palestine - Sama Habib,,,JSTOR
